date,google_trends_score
2023-01-03,61.666666666666664
2023-01-04,61.0
2023-01-05,59.0
2023-01-06,58.0
2023-01-09,60.0
2023-01-10,61.0
2023-01-11,55.0
2023-01-12,55.0
2023-01-13,55.0
2023-01-17,56.0
2023-01-18,58.0
2023-01-19,54.0
2023-01-20,53.0
2023-01-23,57.0
2023-01-24,58.0
2023-01-25,57.0
2023-01-26,51.0
2023-01-27,55.0
2023-01-30,56.666666666666664
2023-01-31,53.0
2023-02-01,53.0
2023-02-02,54.0
2023-02-03,56.0
2023-02-06,56.0
2023-02-07,54.0
2023-02-08,55.0
2023-02-09,51.0
2023-02-10,53.0
2023-02-13,53.333333333333336
2023-02-14,51.0
2023-02-15,53.0
2023-02-16,53.0
2023-02-17,56.0
2023-02-21,53.5
2023-02-22,52.0
2023-02-23,49.0
2023-02-24,51.0
2023-02-27,55.666666666666664
2023-02-28,54.0
2023-03-01,49.0
2023-03-02,49.0
2023-03-03,50.0
2023-03-06,54.333333333333336
2023-03-07,50.0
2023-03-08,48.0
2023-03-09,49.0
2023-03-10,50.0
2023-03-13,52.0
2023-03-14,50.0
2023-03-15,51.0
2023-03-16,50.0
2023-03-17,49.0
2023-03-20,52.666666666666664
2023-03-21,51.0
2023-03-22,50.0
2023-03-23,51.0
2023-03-24,54.0
2023-03-27,52.0
2023-03-28,52.0
2023-03-29,53.0
2023-03-30,52.0
2023-03-31,51.0
2023-04-03,54.333333333333336
2023-04-04,49.0
2023-04-05,51.0
2023-04-06,51.0
2023-04-10,52.5
2023-04-11,51.0
2023-04-12,51.0
2023-04-13,49.0
2023-04-14,50.0
2023-04-17,54.333333333333336
2023-04-18,55.0
2023-04-19,54.0
2023-04-20,52.0
2023-04-21,53.0
2023-04-24,54.0
2023-04-25,50.0
2023-04-26,51.0
2023-04-27,51.0
2023-04-28,50.0
2023-05-01,53.0
2023-05-02,53.0
2023-05-03,52.0
2023-05-04,57.0
2023-05-05,55.0
2023-05-08,55.666666666666664
2023-05-09,51.0
2023-05-10,52.0
2023-05-11,52.0
2023-05-12,52.0
2023-05-15,55.666666666666664
2023-05-16,53.0
2023-05-17,51.0
2023-05-18,52.0
2023-05-19,52.0
2023-05-22,53.333333333333336
2023-05-23,50.0
2023-05-24,52.0
2023-05-25,52.0
2023-05-26,53.0
2023-05-30,54.25
2023-05-31,54.0
2023-06-01,54.0
2023-06-02,56.0
2023-06-05,71.66666666666667
2023-06-06,89.0
2023-06-07,68.0
2023-06-08,59.0
2023-06-09,56.0
2023-06-12,59.0
2023-06-13,58.0
2023-06-14,61.0
2023-06-15,54.0
2023-06-16,57.0
2023-06-20,57.25
2023-06-21,55.0
2023-06-22,54.0
2023-06-23,56.0
2023-06-26,56.333333333333336
2023-06-27,54.0
2023-06-28,53.0
2023-06-29,56.0
2023-06-30,56.0
2023-07-03,57.0
2023-07-05,55.5
2023-07-06,57.0
2023-07-07,58.0
2023-07-10,57.0
2023-07-11,65.0
2023-07-12,62.0
2023-07-13,55.0
2023-07-14,55.0
2023-07-17,58.0
2023-07-18,57.0
2023-07-19,60.0
2023-07-20,57.0
2023-07-21,51.0
2023-07-24,52.0
2023-07-25,51.0
2023-07-26,51.0
2023-07-27,50.0
2023-07-28,50.0
2023-07-31,50.333333333333336
2023-08-01,53.0
2023-08-02,50.0
2023-08-03,52.0
2023-08-04,53.0
2023-08-07,53.0
2023-08-08,51.0
2023-08-09,52.0
2023-08-10,48.0
2023-08-11,51.0
2023-08-14,50.666666666666664
2023-08-15,51.0
2023-08-16,50.0
2023-08-17,49.0
2023-08-18,51.0
2023-08-21,52.333333333333336
2023-08-22,52.0
2023-08-23,52.0
2023-08-24,50.0
2023-08-25,49.0
2023-08-28,53.333333333333336
2023-08-29,48.0
2023-08-30,50.0
2023-08-31,52.0
2023-09-01,53.0
2023-09-05,53.5
2023-09-06,49.0
2023-09-07,55.0
2023-09-08,56.0
2023-09-11,55.0
2023-09-12,100.0
2023-09-13,76.0
2023-09-14,63.0
2023-09-15,70.0
2023-09-18,63.666666666666664
2023-09-19,61.0
2023-09-20,59.0
2023-09-21,61.0
2023-09-22,67.0
2023-09-25,71.33333333333333
2023-09-26,61.0
2023-09-27,60.0
2023-09-28,58.0
2023-09-29,61.0
2023-10-02,65.66666666666667
2023-10-03,58.0
2023-10-04,58.0
2023-10-05,55.0
2023-10-06,59.0
2023-10-09,65.0
2023-10-10,57.0
2023-10-11,58.0
2023-10-12,55.0
2023-10-13,55.0
2023-10-16,60.333333333333336
2023-10-17,54.0
2023-10-18,51.0
2023-10-19,52.0
2023-10-20,54.0
2023-10-23,58.666666666666664
2023-10-24,53.0
2023-10-25,51.0
2023-10-26,53.0
2023-10-27,54.0
2023-10-30,56.0
2023-10-31,58.0
2023-11-01,54.0
2023-11-02,54.0
2023-11-03,53.0
2023-11-06,56.333333333333336
2023-11-07,52.0
2023-11-08,52.0
2023-11-09,54.0
2023-11-10,56.0
2023-11-13,56.333333333333336
2023-11-14,52.0
2023-11-15,55.0
2023-11-16,55.0
2023-11-17,57.0
2023-11-20,65.33333333333333
2023-11-21,67.0
2023-11-22,86.0
2023-11-24,89.0
2023-11-27,72.0
2023-11-28,63.0
2023-11-29,80.0
2023-11-30,66.0
2023-12-01,58.0
2023-12-04,56.0
2023-12-05,54.0
2023-12-06,52.0
2023-12-07,51.0
2023-12-08,52.0
2023-12-11,54.666666666666664
2023-12-12,52.0
2023-12-13,52.0
2023-12-14,54.0
2023-12-15,55.0
2023-12-18,56.333333333333336
2023-12-19,60.0
2023-12-20,59.0
2023-12-21,59.0
2023-12-22,62.0
2023-12-26,72.5
2023-12-27,67.0
2023-12-28,65.0
2023-12-29,60.0
2024-01-02,55.25
2024-01-03,54.0
2024-01-04,53.0
2024-01-05,50.0
2024-01-08,55.0
2024-01-09,50.0
2024-01-10,50.0
2024-01-11,51.0
2024-01-12,51.0
2024-01-16,50.5
2024-01-17,50.0
2024-01-18,49.0
2024-01-19,49.0
2024-01-22,51.0
2024-01-23,46.0
2024-01-24,48.0
2024-01-25,47.0
2024-01-26,48.0
2024-01-29,52.333333333333336
2024-01-30,49.0
2024-01-31,50.0
2024-02-01,48.0
2024-02-02,56.0
2024-02-05,61.0
2024-02-06,57.0
2024-02-07,88.0
2024-02-08,83.0
2024-02-09,81.0
2024-02-12,81.66666666666667
2024-02-13,75.0
2024-02-14,75.0
2024-02-15,78.0
2024-02-16,79.0
2024-02-20,80.75
2024-02-21,80.0
2024-02-22,82.0
2024-02-23,81.0
2024-02-26,80.33333333333333
2024-02-27,74.0
2024-02-28,72.0
2024-02-29,75.0
2024-03-01,78.0
2024-03-04,81.33333333333333
2024-03-05,78.0
2024-03-06,72.0
2024-03-07,74.0
2024-03-08,73.0
2024-03-11,77.0
2024-03-12,76.0
2024-03-13,71.0
2024-03-14,70.0
2024-03-15,74.0
2024-03-18,80.0
2024-03-19,72.0
2024-03-20,75.0
2024-03-21,80.0
2024-03-22,76.0
2024-03-25,78.0
2024-03-26,75.0
2024-03-27,72.0
2024-03-28,71.0
2024-04-01,76.75
2024-04-02,70.0
2024-04-03,78.0
2024-04-04,71.0
2024-04-05,74.0
2024-04-08,75.0
2024-04-09,73.0
2024-04-10,78.0
2024-04-11,82.0
2024-04-12,79.0
2024-04-15,77.66666666666667
2024-04-16,76.0
2024-04-17,70.0
2024-04-18,72.0
2024-04-19,79.0
2024-04-22,76.66666666666667
2024-04-23,72.0
2024-04-24,73.0
2024-04-25,73.0
2024-04-26,72.0
2024-04-29,75.66666666666667
2024-04-30,73.0
2024-05-01,73.0
2024-05-02,76.0
2024-05-03,80.0
2024-05-06,75.66666666666667
2024-05-07,88.0
2024-05-08,77.0
2024-05-09,77.0
2024-05-10,76.0
2024-05-13,79.0
2024-05-14,72.0
2024-05-15,74.0
2024-05-16,78.0
2024-05-17,75.0
2024-05-20,78.66666666666667
2024-05-21,77.0
2024-05-22,76.0
2024-05-23,77.0
2024-05-24,78.0
2024-05-28,76.25
2024-05-29,75.0
2024-05-30,76.0
2024-05-31,74.0
2024-06-03,79.33333333333333
2024-06-04,74.0
2024-06-05,76.0
2024-06-06,80.0
2024-06-07,77.0
2024-06-10,87.66666666666667
2024-06-11,100.0
2024-06-12,92.0
2024-06-13,83.0
2024-06-14,81.0
2024-06-17,82.0
2024-06-18,82.0
2024-06-20,76.5
2024-06-21,82.0
2024-06-24,77.66666666666667
2024-06-25,75.0
2024-06-26,76.0
2024-06-27,70.0
2024-06-28,70.0
2024-07-01,80.0
2024-07-02,81.0
2024-07-03,77.0
2024-07-05,78.0
2024-07-08,76.33333333333333
2024-07-09,75.0
2024-07-10,78.0
2024-07-11,76.0
2024-07-12,78.0
2024-07-15,75.33333333333333
2024-07-16,89.0
2024-07-17,89.0
2024-07-18,79.0
2024-07-19,78.0
2024-07-22,77.33333333333333
2024-07-23,76.0
2024-07-24,77.0
2024-07-25,79.0
2024-07-26,77.0
2024-07-29,77.0
2024-07-30,79.0
2024-07-31,77.0
2024-08-01,84.0
2024-08-02,80.0
2024-08-05,82.0
2024-08-06,78.0
2024-08-07,78.0
2024-08-08,76.0
2024-08-09,77.0
2024-08-12,80.33333333333333
2024-08-13,79.0
2024-08-14,80.0
2024-08-15,81.0
2024-08-16,81.0
2024-08-19,83.66666666666667
2024-08-20,81.0
2024-08-21,80.0
2024-08-22,83.0
2024-08-23,77.0
2024-08-26,80.33333333333333
2024-08-27,58.0
2024-08-28,55.0
2024-08-29,54.0
2024-08-30,55.0
2024-09-03,59.75
2024-09-04,56.0
2024-09-05,55.0
2024-09-06,56.0
2024-09-09,74.66666666666667
2024-09-10,84.0
2024-09-11,64.0
2024-09-12,67.0
2024-09-13,71.0
2024-09-16,70.66666666666667
2024-09-17,66.0
2024-09-18,67.0
2024-09-19,63.0
2024-09-20,77.0
2024-09-23,76.66666666666667
2024-09-24,67.0
2024-09-25,63.0
2024-09-26,63.0
2024-09-27,62.0
2024-09-30,67.66666666666667
2024-10-01,61.0
2024-10-02,61.0
2024-10-03,62.0
2024-10-04,64.0
2024-10-07,69.0
2024-10-08,64.0
2024-10-09,62.0
2024-10-10,60.0
2024-10-11,64.0
2024-10-14,69.0
2024-10-15,60.0
2024-10-16,62.0
2024-10-17,58.0
2024-10-18,60.0
2024-10-21,64.0
2024-10-22,59.0
2024-10-23,58.0
2024-10-24,60.0
2024-10-25,62.0
2024-10-28,63.666666666666664
2024-10-29,56.0
2024-10-30,60.0
2024-10-31,59.0
2024-11-01,62.0
2024-11-04,61.333333333333336
2024-11-05,51.0
2024-11-06,37.0
2024-11-07,53.0
2024-11-08,57.0
2024-11-11,61.666666666666664
2024-11-12,59.0
2024-11-13,59.0
2024-11-14,58.0
2024-11-15,60.0
2024-11-18,61.0
2024-11-19,58.0
2024-11-20,61.0
2024-11-21,65.0
2024-11-22,59.0
2024-11-25,72.33333333333333
2024-11-26,78.0
2024-11-27,92.0
2024-11-29,99.5
2024-12-02,78.66666666666667
2024-12-03,77.0
2024-12-04,91.0
2024-12-05,68.0
2024-12-06,62.0
2024-12-09,62.333333333333336
2024-12-10,59.0
2024-12-11,60.0
2024-12-12,61.0
2024-12-13,59.0
2024-12-16,62.333333333333336
2024-12-17,61.0
2024-12-18,60.0
2024-12-19,59.0
2024-12-20,64.0
2024-12-23,67.0
2024-12-24,71.0
2024-12-26,87.0
2024-12-27,74.0
2024-12-30,76.0
2024-12-31,65.0
2025-01-02,61.5
2025-01-03,66.0
2025-01-06,63.666666666666664
2025-01-07,55.0
2025-01-08,56.0
2025-01-10,54.5
2025-01-13,56.0
2025-01-14,53.0
2025-01-15,54.0
2025-01-16,59.0
2025-01-17,56.0
2025-01-21,56.25
2025-01-22,53.0
2025-01-23,53.0
2025-01-24,52.0
2025-01-27,55.666666666666664
2025-01-28,55.0
2025-01-29,52.0
2025-01-30,55.0
2025-01-31,55.0
2025-02-03,53.666666666666664
2025-02-04,52.0
2025-02-05,54.0
2025-02-06,54.0
2025-02-07,57.0
2025-02-10,57.333333333333336
2025-02-11,57.0
2025-02-12,56.0
2025-02-13,54.0
2025-02-14,57.0
2025-02-18,58.5
2025-02-19,59.0
2025-02-20,56.0
2025-02-21,54.0
2025-02-24,58.333333333333336
2025-02-25,55.0
2025-02-26,50.0
2025-02-27,55.0
2025-02-28,56.0
2025-03-03,57.0
2025-03-04,52.0
2025-03-05,51.0
2025-03-06,53.0
2025-03-07,52.0
2025-03-10,56.666666666666664
2025-03-11,54.0
2025-03-12,55.0
2025-03-13,54.0
2025-03-14,54.0
2025-03-17,50.666666666666664
